# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 290:         6.891       52.274      34.80  TWENTHE
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  257,20171001,    1,     ,     ,     ,     ,  134,     ,  100,    0,    0,    0,    0,     ,     ,     ,   80,     ,    6,     ,     ,     ,     ,     
  257,20171001,    2,     ,     ,     ,     ,  120,     ,  102,    0,    0,    0,    0,     ,     ,     ,   88,     ,    6,     ,     ,     ,     ,     
  257,20171001,    3,     ,     ,     ,     ,  121,     ,  103,    0,    0,    0,    0,     ,     ,     ,   88,     ,    6,     ,     ,     ,     ,     
  257,20171001,    4,     ,     ,     ,     ,  123,     ,   99,    0,    0,    0,    0,     ,     ,     ,   85,     ,    6,     ,     ,     ,     ,     
  257,20171001,    5,     ,     ,     ,     ,  119,     ,   97,    0,    0,    0,    0,     ,     ,     ,   86,     ,    6,     ,     ,     ,     ,     
  257,20171001,    6,     ,     ,     ,     ,  120,  111,   98,    0,    1,    0,    0,     ,     ,     ,   86,     ,    6,     ,     ,     ,     ,     
  257,20171001,    7,     ,     ,     ,     ,  128,     ,  101,    0,   18,    0,    0,     ,     ,     ,   83,     ,    6,     ,     ,     ,     ,     
  257,20171001,    8,     ,     ,     ,     ,  142,     ,  107,    5,   63,    0,    0,     ,     ,     ,   79,     ,    6,     ,     ,     ,     ,     
  257,20171001,    9,     ,     ,     ,     ,  149,     ,  106,    4,   90,    0,    0,     ,     ,     ,   75,     ,    6,     ,     ,     ,     ,     
  257,20171001,   10,     ,     ,     ,     ,  163,     ,  106,    5,  121,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171001,   11,     ,     ,     ,     ,  163,     ,  107,    1,   91,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171001,   12,     ,     ,     ,     ,  165,  115,  103,    0,   71,    0,    0,     ,     ,     ,   66,     ,    6,     ,     ,     ,     ,     
  257,20171001,   13,     ,     ,     ,     ,  164,     ,  105,    0,   49,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171001,   14,     ,     ,     ,     ,  165,     ,  105,    0,   48,    0,    0,     ,     ,     ,   67,     ,    6,     ,     ,     ,     ,     
  257,20171001,   15,     ,     ,     ,     ,  164,     ,  106,    0,   44,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171001,   16,     ,     ,     ,     ,  162,     ,  109,    0,   18,    0,    0,     ,     ,     ,   71,     ,    6,     ,     ,     ,     ,     
  257,20171001,   17,     ,     ,     ,     ,  157,     ,  115,    0,    5,    0,    0,     ,     ,     ,   76,     ,    6,     ,     ,     ,     ,     
  257,20171001,   18,     ,     ,     ,     ,  156,  154,  118,    0,    0,    0,    0,     ,     ,     ,   77,     ,    6,     ,     ,     ,     ,     
  257,20171001,   19,     ,     ,     ,     ,  155,     ,  121,    0,    0,    0,    0,     ,     ,     ,   80,     ,    6,     ,     ,     ,     ,     
  257,20171001,   20,     ,     ,     ,     ,  154,     ,  121,    0,    0,    0,    0,     ,     ,     ,   81,     ,    6,     ,     ,     ,     ,     
  257,20171001,   21,     ,     ,     ,     ,  156,     ,  124,    0,    0,    0,    0,     ,     ,     ,   81,     ,    6,     ,     ,     ,     ,     
  257,20171001,   22,     ,     ,     ,     ,  151,     ,  130,    0,    0,    0,   -1,     ,     ,     ,   87,     ,    6,     ,     ,     ,     ,     
  257,20171001,   23,     ,     ,     ,     ,  155,     ,  133,    0,    0,    0,    0,     ,     ,     ,   86,     ,    6,     ,     ,     ,     ,     
  257,20171001,   24,     ,     ,     ,     ,  158,  147,  140,    0,    0,    2,    1,     ,     ,     ,   89,     ,    6,     ,     ,     ,     ,     
  257,20171002,    1,     ,     ,     ,     ,  158,     ,  146,    0,    0,    0,    0,     ,     ,     ,   92,     ,    6,     ,     ,     ,     ,     
  257,20171002,    2,     ,     ,     ,     ,  161,     ,  153,    0,    0,    9,    4,     ,     ,     ,   95,     ,    6,     ,     ,     ,     ,     
  257,20171002,    3,     ,     ,     ,     ,  169,     ,  153,    0,    0,    8,    2,     ,     ,     ,   90,     ,    6,     ,     ,     ,     ,     
  257,20171002,    4,     ,     ,     ,     ,  168,     ,  143,    0,    0,    0,    0,     ,     ,     ,   85,     ,    6,     ,     ,     ,     ,     
  257,20171002,    5,     ,     ,     ,     ,  165,     ,  137,    0,    0,    0,    0,     ,     ,     ,   83,     ,    6,     ,     ,     ,     ,     
  257,20171002,    6,     ,     ,     ,     ,  162,  154,  120,    0,    0,    0,    0,     ,     ,     ,   75,     ,    6,     ,     ,     ,     ,     
  257,20171002,    7,     ,     ,     ,     ,  162,     ,  122,    0,    7,    0,    0,     ,     ,     ,   77,     ,    6,     ,     ,     ,     ,     
  257,20171002,    8,     ,     ,     ,     ,  163,     ,  118,    3,   40,    0,    0,     ,     ,     ,   74,     ,    6,     ,     ,     ,     ,     
  257,20171002,    9,     ,     ,     ,     ,  165,     ,  113,    4,   67,    0,    0,     ,     ,     ,   71,     ,    6,     ,     ,     ,     ,     
  257,20171002,   10,     ,     ,     ,     ,  168,     ,  112,    4,   84,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171002,   11,     ,     ,     ,     ,  164,     ,  107,    0,   74,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171002,   12,     ,     ,     ,     ,  160,  157,  103,    0,   49,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171002,   13,     ,     ,     ,     ,  163,     ,  107,    1,   65,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171002,   14,     ,     ,     ,     ,  157,     ,   99,    1,   48,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171002,   15,     ,     ,     ,     ,  156,     ,  101,    0,   16,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171002,   16,     ,     ,     ,     ,  159,     ,  100,    0,   10,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171002,   17,     ,     ,     ,     ,  159,     ,   96,    0,    6,    0,    0,     ,     ,     ,   66,     ,    6,     ,     ,     ,     ,     
  257,20171002,   18,     ,     ,     ,     ,  160,  154,   90,    0,    0,    0,    0,     ,     ,     ,   63,     ,    6,     ,     ,     ,     ,     
  257,20171002,   19,     ,     ,     ,     ,  158,     ,   98,    0,    0,    0,    0,     ,     ,     ,   67,     ,    6,     ,     ,     ,     ,     
  257,20171002,   20,     ,     ,     ,     ,  152,     ,   94,    0,    0,    3,    2,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171002,   21,     ,     ,     ,     ,  152,     ,   90,    0,    0,    0,    0,     ,     ,     ,   66,     ,    6,     ,     ,     ,     ,     
  257,20171002,   22,     ,     ,     ,     ,  152,     ,   91,    0,    0,    0,    0,     ,     ,     ,   66,     ,    6,     ,     ,     ,     ,     
  257,20171002,   23,     ,     ,     ,     ,  151,     ,   98,    0,    0,    0,    0,     ,     ,     ,   70,     ,    6,     ,     ,     ,     ,     
  257,20171002,   24,     ,     ,     ,     ,  147,  134,   94,    0,    0,    0,    0,     ,     ,     ,   70,     ,    6,     ,     ,     ,     ,     
